Multi-GPU support is disabled. Using a single GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/fineweb10B/fineweb_train_*.bin            |
| val data pattern      | dev/data/fineweb10B/fineweb_val_*.bin              |
| output log dir        | log124M                                            |
| checkpoint_every      | 5000                                               |
| resume                | 0                                                  |
| micro batch size B    | 32                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 6.000000e-04                                       |
| warmup iterations     | 700                                                |
| final LR fraction     | 0.000000e+00                                       |
| weight decay          | 1.000000e-01                                       |
| skip update lossz     | 0.000000                                           |
| skip update gradz     | 0.000000                                           |
| max_steps             | -1                                                 |
| val_loss_every        | 250                                                |
| val_max_steps         | 20                                                 |
| sample_every          | 20000                                              |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
| use_master_weights    | enabled                                            |
| gelu_fusion           | 0                                                  |
| recompute             | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA A100-PCIE-40GB                              |
| peak TFlops           | 312.0                                              |
| precision             | BF16                                               |
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 19560                                              |
| val_num_batches       | 20                                                 |
+-----------------------+----------------------------------------------------+
| run hellaswag         | yes                                                |
+-----------------------+----------------------------------------------------+
| num_processes         | 1                                                  |
| zero_stage            | 1                                                  |
+-----------------------+----------------------------------------------------+
num_parameters: 124475904 => bytes: 248951808
allocated 237 MiB for model parameters
batch_size B=32 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=16
---
WARNING: Failed to open the tokenizer file gpt2_tokenizer.bin
The Tokenizer is a new feature added April 14 2024.
Re-run `python train_gpt2.py` to write it
---
allocating 237 MiB for parameter gradients
allocating 19806 MiB for activations
allocating 474 MiB for AdamW optimizer state m
allocating 474 MiB for AdamW optimizer state v
allocating 474 MiB for master copy of params
device memory usage: 22198 MiB / 40338 MiB
memory per sequence: 618 MiB
 -> estimated maximum batch size: 61
val loss 11.008742
step    1/19560 | loss 11.010252 (+nanz)| norm 15.1374 (+nanz)| lr 8.57e-07 | 4621.47 ms | 29.2% bf16 MFU | 113446 tok/s
step    2/19560 | loss 10.956968 (+nanz)| norm 15.2986 (+nanz)| lr 1.71e-06 | 4557.77 ms | 29.6% bf16 MFU | 115032 tok/s
step    3/19560 | loss 10.848854 (+nanz)| norm 14.8131 (+nanz)| lr 2.57e-06 | 4382.21 ms | 30.8% bf16 MFU | 117395 tok/s
step    4/19560 | loss 10.718035 (+nanz)| norm 12.9272 (+nanz)| lr 3.43e-06 | 4234.68 ms | 31.9% bf16 MFU | 119643 tok/s
step    5/19560 | loss 10.560909 (+nanz)| norm 10.5613 (+nanz)| lr 4.29e-06 | 4554.34 ms | 29.6% bf16 MFU | 118424 tok/s
step    6/19560 | loss 10.416231 (+nanz)| norm 8.5775 (+nanz)| lr 5.14e-06 | 4680.29 ms | 28.8% bf16 MFU | 117008 tok/s
step    7/19560 | loss 10.299289 (+nanz)| norm 7.1370 (+nanz)| lr 6.00e-06 | 4107.86 ms | 32.9% bf16 MFU | 119013 tok/s
step    8/19560 | loss 10.185875 (+nanz)| norm 6.2595 (+nanz)| lr 6.86e-06 | 4388.43 ms | 30.8% bf16 MFU | 119089 tok/s
step    9/19560 | loss 10.062778 (+nanz)| norm 5.4449 (+nanz)| lr 7.71e-06 | 4180.72 ms | 32.3% bf16 MFU | 120027 tok/s
step   10/19560 | loss 10.002686 (+nanz)| norm 4.5098 (+nanz)| lr 8.57e-06 | 7229.65 ms | 18.7% bf16 MFU | 113603 tok/s
step   11/19560 | loss 9.922112 (+nanz)| norm 3.8772 (+nanz)| lr 9.43e-06 | 4338.78 ms | 31.1% bf16 MFU | 114505 tok/s
step   12/19560 | loss 9.843137 (+nanz)| norm 3.4079 (+nanz)| lr 1.03e-05 | 4138.44 ms | 32.6% bf16 MFU | 115917 tok/s
step   13/19560 | loss 9.813899 (+nanz)| norm 2.9496 (+nanz)| lr 1.11e-05 | 4132.03 ms | 32.7% bf16 MFU | 117110 tok/s
step   14/19560 | loss 9.751227 (+nanz)| norm 2.7037 (+nanz)| lr 1.20e-05 | 4127.47 ms | 32.7% bf16 MFU | 118129 tok/s
step   15/19560 | loss 9.709184 (+nanz)| norm 2.4934 (+nanz)| lr 1.29e-05 | 4115.34 ms | 32.8% bf16 MFU | 119033 tok/s
step   16/19560 | loss 9.699945 (+nanz)| norm 2.2957 (+nanz)| lr 1.37e-05 | 4175.36 ms | 32.3% bf16 MFU | 119642 tok/s
step   17/19560 | loss 9.646930 (+nanz)| norm 2.2621 (+nanz)| lr 1.46e-05 | 4133.04 ms | 32.7% bf16 MFU | 120286 tok/s
step   18/19560 | loss 9.651306 (+nanz)| norm 2.1829 (+nanz)| lr 1.54e-05 | 4186.35 ms | 32.3% bf16 MFU | 120712 tok/s
step   19/19560 | loss 9.606390 (+nanz)| norm 2.1961 (+nanz)| lr 1.63e-05 | 4161.93 ms | 32.4% bf16 MFU | 121148 tok/s
step   20/19560 | loss 9.587294 (+nanz)| norm 2.1759 (+nanz)| lr 1.71e-05 | 4120.95 ms | 32.8% bf16 MFU | 121636 tok/s
step   21/19560 | loss 9.574850 (+nanz)| norm 2.1448 (+nanz)| lr 1.80e-05 | 4144.40 ms | 32.6% bf16 MFU | 122015 tok/s
step   22/19560 | loss 9.529497 (+nanz)| norm 2.1576 (+nanz)| lr 1.89e-05 | 4141.66 ms | 32.6% bf16 MFU | 122362 tok/s
step   23/19560 | loss 9.510900 (+nanz)| norm 2.1088 (+nanz)| lr 1.97e-05 | 4141.01 ms | 32.6% bf16 MFU | 122676 tok/s
step   24/19560 | loss 9.470356 (+nanz)| norm 2.0936 (+nanz)| lr 2.06e-05 | 4165.01 ms | 32.4% bf16 MFU | 122907 tok/s
