Multi-GPU support is disabled. Using a single GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/fineweb10B/fineweb_train_*.bin            |
| val data pattern      | dev/data/fineweb10B/fineweb_val_*.bin              |
| output log dir        | log124M                                            |
| checkpoint_every      | 5000                                               |
| resume                | 0                                                  |
| micro batch size B    | 32                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 6.000000e-04                                       |
| warmup iterations     | 700                                                |
| final LR fraction     | 0.000000e+00                                       |
| weight decay          | 1.000000e-01                                       |
| skip update lossz     | 0.000000                                           |
| skip update gradz     | 0.000000                                           |
| max_steps             | -1                                                 |
| val_loss_every        | 250                                                |
| val_max_steps         | 20                                                 |
| sample_every          | 20000                                              |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
| use_master_weights    | enabled                                            |
| gelu_fusion           | 0                                                  |
| recompute             | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA A100-PCIE-40GB                              |
| peak TFlops           | 312.0                                              |
| precision             | BF16                                               |
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 19560                                              |
| val_num_batches       | 20                                                 |
+-----------------------+----------------------------------------------------+
| run hellaswag         | yes                                                |
+-----------------------+----------------------------------------------------+
| num_processes         | 1                                                  |
| zero_stage            | 1                                                  |
+-----------------------+----------------------------------------------------+
num_parameters: 124475904 => bytes: 248951808
allocated 237 MiB for model parameters
batch_size B=32 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=16
---
WARNING: Failed to open the tokenizer file gpt2_tokenizer.bin
The Tokenizer is a new feature added April 14 2024.
Re-run `python train_gpt2.py` to write it
---
allocating 237 MiB for parameter gradients
allocating 19806 MiB for activations
allocating 474 MiB for AdamW optimizer state m
allocating 474 MiB for AdamW optimizer state v
allocating 474 MiB for master copy of params
device memory usage: 22198 MiB / 40338 MiB
memory per sequence: 618 MiB
 -> estimated maximum batch size: 61
val loss nan
step    1/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-07 | 3914.05 ms | 34.5% bf16 MFU | 133950 tok/s
step    2/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.71e-06 | 3852.53 ms | 35.0% bf16 MFU | 136089 tok/s
step    3/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.57e-06 | 3788.21 ms | 35.6% bf16 MFU | 137274 tok/s
step    4/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.43e-06 | 3614.28 ms | 37.4% bf16 MFU | 140004 tok/s
step    5/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 4.29e-06 | 3606.97 ms | 37.4% bf16 MFU | 141446 tok/s
step    6/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 5.14e-06 | 3737.32 ms | 36.1% bf16 MFU | 141189 tok/s
step    7/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.00e-06 | 3604.11 ms | 37.5% bf16 MFU | 141997 tok/s
step    8/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.86e-06 | 3559.47 ms | 37.9% bf16 MFU | 142875 tok/s
step    9/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 7.71e-06 | 3593.04 ms | 37.6% bf16 MFU | 143327 tok/s
step   10/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-06 | 3634.07 ms | 37.2% bf16 MFU | 143455 tok/s
step   11/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 9.43e-06 | 3611.64 ms | 37.4% bf16 MFU | 143668 tok/s
step   12/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.03e-05 | 3634.70 ms | 37.1% bf16 MFU | 143735 tok/s
step   13/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.11e-05 | 3572.33 ms | 37.8% bf16 MFU | 144064 tok/s
step   14/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.20e-05 | 3577.24 ms | 37.7% bf16 MFU | 144321 tok/s
step   15/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.29e-05 | 3580.09 ms | 37.7% bf16 MFU | 144528 tok/s
step   16/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.37e-05 | 3582.39 ms | 37.7% bf16 MFU | 144698 tok/s
step   17/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.46e-05 | 3591.30 ms | 37.6% bf16 MFU | 144813 tok/s
step   18/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.54e-05 | 3601.54 ms | 37.5% bf16 MFU | 144879 tok/s
